intervals,strategy,max_relative_flux_error,kirchhoff_identity_residual
20.0,midpoint,0.01220992455186151,
20.0,harmonic,0.5250595286612239,
20.0,series,0.5218307351193966,
20.0,kirchhoff,0.001627253688636643,0.0
40.0,midpoint,0.0020158940258703023,
40.0,harmonic,0.40042334419996944,
40.0,series,0.3986317976558442,
40.0,kirchhoff,0.0004358185181512206,1.5439067791788056e-16
80.0,midpoint,0.00646727215660786,
80.0,harmonic,0.2710049204149321,
80.0,series,0.270099130746053,
80.0,kirchhoff,0.00011293650046170196,1.536495912255586e-16
