label,question,interface,perturbation,event_time_h,delta_h,delta_pct,steps,wall_s
q3_C0_dn,3,kirchhoff,C0 -5%,57.238933,-0.244044,-0.4245,845630,737.5
q3_C0_up,3,kirchhoff,C0 +5%,57.714291,+0.231314,+0.4024,850192,748.1
q3_T0_dn,3,kirchhoff,T0 -2C,57.489381,+0.006404,+0.0111,848059,738.4
q3_T0_up,3,kirchhoff,T0 +2C,57.476602,-0.006375,-0.0111,847930,737.2
q3_base,3,kirchhoff,基准,57.482977,+0.000000,+0.0000,847995,734.7
q3_h_dn,3,kirchhoff,h -20%,57.502686,+0.019709,+0.0343,848177,739.6
q3_h_up,3,kirchhoff,h +20%,57.469947,-0.013030,-0.0227,847867,741.4
q3_hm_dn,3,kirchhoff,h_m -20%,59.179269,+1.696292,+2.9509,870257,750.0
q3_hm_up,3,kirchhoff,h_m +20%,56.443883,-1.039094,-1.8077,834449,729.7
q4_C0_dn,4,midpoint,C0 -5%,50.946015,-0.237680,-0.4644,839882,506.0
q4_C0_up,4,midpoint,C0 +5%,51.408401,+0.224706,+0.4390,846767,509.6
q4_base,4,midpoint,基准,51.183695,+0.000000,+0.0000,843437,505.1
q4_hm_dn,4,midpoint,h_m -20%,51.852695,+0.669000,+1.3071,855071,512.1
q4_hm_up,4,midpoint,h_m +20%,50.805324,-0.378370,-0.7392,836911,503.7
