label,question,intervals,interface_strategy,include_end_faces,length_scaling,plateau_mode,integrator,end_time_s,event_time_s,event_hours,event_reached,elapsed_s,step_count,min_step_s,max_step_s,final_max_moisture,moisture_min,temperature_max_c,moisture_monotone
midpoint-N20,3,20,midpoint,False,constant,fixed,bdf,210606.36716061863,210606.36716061863,58.501768655727396,True,1.8415440999997372,3414,0.002011633461678539,4924.068873079028,0.15,0.05256522810978304,50.03976899348805,True
midpoint-N40,3,40,midpoint,False,constant,fixed,bdf,208480.53737966533,208480.53737966533,57.91126038324037,True,2.7240991000007853,3377,0.001686727837218441,4735.702709512669,0.15,0.05262599837673773,50.03981260901367,True
midpoint-N80,3,80,midpoint,False,constant,fixed,bdf,207527.38082749417,207527.38082749417,57.64649467430394,True,4.619526599999517,3285,0.001416240751143719,5544.020278362732,0.15,0.052649241045934124,50.039861974905875,True
harmonic-N20,3,20,harmonic,False,constant,fixed,bdf,259200.0,259200.0,72.0,False,1.8217753999997512,3507,0.002011633461678539,14775.654779500503,0.2663264793787227,0.051281051250858085,50.039932445565206,True
harmonic-N40,3,40,harmonic,False,constant,fixed,bdf,259200.0,259200.0,72.0,False,2.6454929000001357,3485,0.001686727837218441,10316.346315273753,0.21646299303554178,0.05222922304335065,50.03983818040532,True
harmonic-N80,3,80,harmonic,False,constant,fixed,bdf,259200.0,259200.0,72.0,False,4.792846700000155,3565,0.001416240751143719,8118.813939769723,0.15990905439816067,0.05244116660768671,50.03980996507649,True
series-N20,3,20,series,False,constant,fixed,bdf,259200.0,259200.0,72.0,False,2.8042862999991485,3522,0.002011633461678539,22671.354476314445,0.2653606848169915,0.051293846319673736,50.03984251316307,True
series-N40,3,40,series,False,constant,fixed,bdf,259200.0,259200.0,72.0,False,4.055052599999726,3499,0.001686727837218441,9372.228196143697,0.2159316761064706,0.05223706619437306,50.03986030725266,True
series-N80,3,80,series,False,constant,fixed,bdf,259200.0,259200.0,72.0,False,7.290393300000687,3591,0.001416240751143719,6618.308771701151,0.15973615389058307,0.052439672827786284,50.03985896514716,True
kirchhoff-N20,3,20,kirchhoff,False,constant,fixed,bdf,207046.99563609742,207046.99563609742,57.513054343360395,True,2.693587199999456,3433,0.002011633461678539,4534.540996592754,0.15,0.05262111234487877,50.03982700664276,True
kirchhoff-N40,3,40,kirchhoff,False,constant,fixed,bdf,206938.93974940057,206938.93974940057,57.48303881927794,True,3.958115800000087,3380,0.001686727837218441,4730.135075504048,0.15,0.05264449956569525,50.03988205213772,True
kirchhoff-N80,3,80,kirchhoff,False,constant,fixed,bdf,206910.54933878197,206910.54933878197,57.475152594106106,True,7.032454199999847,3315,0.001416240751143719,5409.068660249846,0.15,0.052653729082559206,50.03971089530844,True
