label,question,intervals,interface_strategy,include_end_faces,length_scaling,plateau_mode,integrator,end_time_s,event_time_s,event_hours,event_reached,elapsed_s,step_count,min_step_s,max_step_s,final_max_moisture,moisture_min,temperature_max_c,moisture_monotone
midpoint-N20,3,20,midpoint,True,constant,fixed,bdf,121486.41859354753,121486.41859354753,33.74622738709653,True,1.8657302000001437,3415,0.0020075168534900035,2249.4604374390474,0.15,0.052506160694729666,50.04627443328305,True
midpoint-N40,3,40,midpoint,True,constant,fixed,bdf,121160.75356693873,121160.75356693873,33.6557648797052,True,2.712189699999726,3375,0.0016849878539107598,2862.9896604493842,0.15,0.052572236989429214,50.04618072530547,True
midpoint-N80,3,80,midpoint,True,constant,fixed,bdf,121019.51531760383,121019.51531760383,33.61653203266773,True,4.857775700000275,3295,0.0014155072943412108,2360.39066812236,0.15,0.052600884543027915,50.04616346207887,True
harmonic-N20,3,20,harmonic,True,constant,fixed,bdf,173718.61526915224,173718.61526915224,48.255170908097845,True,1.9350098000004436,3504,0.0020075168534900035,4944.518133352569,0.15,0.05050471351273224,50.04624644314553,True
harmonic-N40,3,40,harmonic,True,constant,fixed,bdf,153269.45333144625,153269.45333144625,42.57484814762396,True,2.714568099999269,3481,0.0016849878539107598,3571.185181075707,0.15,0.05105757328923806,50.046257076097554,True
harmonic-N80,3,80,harmonic,True,constant,fixed,bdf,131160.35793430323,131160.35793430323,36.43343275952868,True,4.790443400000186,3410,0.0014155072943412108,2607.713242655169,0.15,0.052059060299658594,50.046033400385156,True
series-N20,3,20,series,True,constant,fixed,bdf,173283.86223654498,173283.86223654498,48.134406176818054,True,2.7114117999999507,3515,0.0020075168534900035,5784.582246678532,0.15,0.05051137330883252,50.046188179296685,True
series-N40,3,40,series,True,constant,fixed,bdf,153053.3179439229,153053.3179439229,42.51481053997859,True,4.033313900000394,3503,0.0016849878539107598,3544.787979354878,0.15,0.051064508770640865,50.04617049818033,True
series-N80,3,80,series,True,constant,fixed,bdf,130839.70417636963,130839.70417636963,36.34436227121379,True,7.215657499999907,3402,0.0014155072943412108,2659.069079451074,0.15,0.05206059970256009,50.046179019630806,True
kirchhoff-N20,3,20,kirchhoff,True,constant,fixed,bdf,120980.44213948176,120980.44213948176,33.605678372078266,True,2.739178400000128,3444,0.0020075168534900035,2489.5258475405135,0.15,0.05258390224529256,50.04632880384811,True
kirchhoff-N40,3,40,kirchhoff,True,constant,fixed,bdf,120945.15199863233,120945.15199863233,33.595875555175645,True,4.115439899999728,3394,0.0016849878539107598,2548.0016733368248,0.15,0.0526005376207111,50.046170787097424,True
kirchhoff-N80,3,80,kirchhoff,True,constant,fixed,bdf,120935.75176108367,120935.75176108367,33.59326437807879,True,7.674864700000398,3289,0.0014155072943412108,2344.314166556491,0.15,0.052608158903654244,50.04622514281989,True
